WWII_ID,MASTER_INDEX_NUMBER,MSNDATE,THEATER,NAF,COUNTRY_FLYING_MISSION,TGT_COUNTRY_CODE,TGT_COUNTRY,TGT_LOCATION,TGT_TYPE,TGT_ID,TGT_INDUSTRY_CODE,TGT_INDUSTRY,SOURCE_LATITUDE,SOURCE_LONGITUDE,LATITUDE,LONGITUDE,UNIT_ID,MDS,AIRCRAFT_NAME,MSN_TYPE,TGT_PRIORITY,TGT_PRIORITY_EXPLANATION,AC_ATTACKING,ALTITUDE,ALTITUDE_FEET,NUMBER_OF_HE,TYPE_OF_HE,LBS_HE,TONS_OF_HE,NUMBER_OF_IC,TYPE_OF_IC,LBS_IC,TONS_OF_IC,NUMBER_OF_FRAG,TYPE_OF_FRAG,LBS_FRAG,TONS_OF_FRAG,TOTAL_LBS,TOTAL_TONS,TAKEOFF_BASE,TAKEOFF_COUNTRY,TAKEOFF_LATITUDE,TAKEOFF_LONGITUDE,AC_LOST,AC_DAMAGED,AC_AIRBORNE,AC_DROPPING,TIME_OVER_TARGET,SIGHTING_METHOD_CODE,SIGHTING_EXPLANATION,BDA,CALLSIGN,ROUNDS_AMMO,SPARES_RETURN_AC,WX_FAIL_AC,MECH_FAIL_AC,MISC_FAIL_AC,TARGET_COMMENT,MISSION_COMMENTS,SOURCE,DATABASE_EDIT_COMMENTS
155596,7554,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,674 S,A20,A20,1,1,,12,35,3500,48,500 LB GP (GP-M43/M64),,12,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
155637,7551,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,672 BS,B25,B25,1,1,,1,40,4000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155638,7555,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,675 BS,B25,B25,1,1,,1,30,3000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155905,7552,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,672 S,A20,A20,1,1,,11,,48,,250 LB GP (GP-M57),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
155906,7556,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,675 S,A20,A20,1,1,,12,,48,,250 LB GP (GP-M57),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
155586,5536,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,530 BS,B24,B24,1,1,,5,115,11500,80,100 LB GP (GP-M30),,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
155588,5535,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,529 BS,B24,B24,1,1,,,,,80,100 LB GP (GP-M30),,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
155592,5533,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,528 BS,B24,B24,1,1,,,,,60,100 LB GP (GP-M30),,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
155603,5534,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,529 BS,B24,B24,31,1,,6,145,14500,40,500 LB GP (GP-M43/M64),,10,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
155604,5532,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,528 BS,B24,B24,1,1,,6,130,13000,40,500 LB GP (GP-M43/M64),,10,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
155627,5531,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,528 BS,B24,B24,12,1,,2,110,11000,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
155641,5515,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,UNIDENTIFIED TARGET,,,,316,12706,-3.266666667,127.1,529 BS,B24,B24,12,1,,1,110,11000,4,500 LB GP (GP-M43/M64),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
